ID_STG_FNT_ITT,NUM_CNPJ,Cnpj Invalido,Nome Comercial,Razao Social
564,148210471,1482104711853,NMN,NMN
568,21121730597,211217305972363,NMN,NMN
577,74917759,749177591938,NMN,NMN
585,880741661,8807416612040,NMN,NMN
666,26788270931,267882709312108,NMN,NMN
668,14431808895,144318088951887,NMN,NMN
702,18080421468,180804214682839,NMN,NMN
759,,,,
785,415901923,4159019231717,NMN,NMN
821,23437752899,234377528992907,NMN,NMN
829,879310533,8793105332125,NMN,NMN
837,25856415285,258564152851717,NMN,NMN
852,,,NMN,NMN
908,25355059530,253550595302057,NMN,NMN
911,22929857941,229298579412601,NMN,NMN
958,,,NMN,NMN
960,,,NMN,NMN
989,347090734,3470907343230,NMN,NMN
1002,,,NMN,NMN
1014,,,NMN,NMN
1018,725746048,7257460482210,NMN,NMN
304,20561324050,205613240502295,NMN,NMN
359,232149943,2321499433366,NMN,NMN
388,986321742,9863217422074,NMN,NMN
405,,,NMN,NMN
417,,,NMN,NMN
442,,,NMN,NMN
449,,,NMN,NMN
455,201898001,2018980013162,NMN,NMN
464,651514664,6515146642686,NMN,NMN
477,807685929,8076859293366,NMN,NMN
516,,,NMN,NMN
540,,,NMN,NMN
546,,,NMN,NMN
584,10807270311,108072703112839,NMN,NMN
591,,,NMN,NMN
600,452584982,4525849823383,NMN,NMN
615,21163664786,211636647862652,,
630,667321230,6673212305321,NMN,NMN
633,667321230,66732123011322,NMN,NMN
643,931375617,9313756172210,NMN,NMN
647,,,NMN,NMN
674,,,NMN,NMN
684,695099621,6950996212176,NMN,NMN
687,,,NMN,NMN
701,16484099912,164840999122890,NMN,NMN
758,,,,
844,24557566342,245575663422550,NMN,NMN
849,25369601432,253696014322856,NMN,NMN
862,26153706984,261537069842533,NMN,NMN
876,21129727227,211297272271700,NMN,NMN
881,341459569,34145956912580,NMN,NMN
895,,,NMN,NMN
900,25371072442,253710724422397,NMN,NMN
906,20845119160,208451191602210,NMN,NMN
927,16940144802,169401448021836,,
936,887630554,8876305541870,NMN,NMN
950,585439727,5854397272397,NMN,NMN
961,,,NMN,NMN
971,,,NMN,NMN
987,,,NMN,NMN
1025,17085140437,170851404371700,,
22,18187209858,181872098582788,,
32,23617978212,236179782121768,,
38,,,,
41,,,,
69,,,NMN,NMN
82,,,NMN,NMN
140,,,NMN,NMN
144,,,NMN,NMN
147,,,NMN,NMN
155,,,NMN,NMN
173,,,NMN,NMN
175,,,NMN,NMN
211,26654010490,266540104901734,,
227,,,NMN,NMN
235,,,NMN,NMN
261,20589236826,205892368262635,NMN,NMN
294,19937243,199372433162,NMN,NMN
308,,,NMN,NMN
314,,,NMN,NMN
347,12046452892,120464528921700,NMN,NMN
375,,,NMN,NMN
385,848303723,8483037231700,NMN,NMN
409,,,NMN,NMN
416,,,NMN,NMN
440,,,NMN,NMN
446,19207924623,192079246232771,NMN,NMN
456,479068942,4790689421768,NMN,NMN
475,675874474,6758744743060,NMN,NMN
490,,,NMN,NMN
502,,,NMN,NMN
507,,,NMN,NMN
511,712833528,7128335281955,NMN,NMN
515,,,NMN,NMN
527,,,NMN,NMN
542,12081645867,120816458673060,NMN,NMN
578,,,NMN,NMN
581,896531465,8965314652261,NMN,NMN
592,,,NMN,NMN
596,,,NMN,NMN
597,19932221625,199322216251836,NMN,NMN
616,19912334090,199123340902346,,
